Date,Boohoo,PrettyLittleThing,Missguided,ASOS,Nasty Gal
2016-05-29,70,18,53,75,5
2016-06-05,68,19,45,65,5
2016-06-12,65,16,46,62,6
2016-06-19,72,16,46,85,8
2016-06-26,67,21,52,76,4
2016-07-03,68,20,51,70,6
2016-07-10,63,21,51,60,7
2016-07-17,71,18,49,64,5
2016-07-24,68,18,53,65,6
2016-07-31,69,20,53,62,5
2016-08-07,67,20,49,64,5
2016-08-14,58,17,44,60,8
2016-08-21,64,22,50,68,4
2016-08-28,59,19,49,65,4
2016-09-04,63,19,42,64,3
2016-09-11,58,17,44,57,9
2016-09-18,64,18,46,62,5
2016-09-25,74,21,70,63,6
2016-10-02,68,21,53,69,6
2016-10-09,73,21,47,67,5
2016-10-16,68,22,47,65,5
2016-10-23,71,21,48,65,4
2016-10-30,62,20,47,66,4
2016-11-06,70,21,46,67,10
2016-11-13,68,26,87,71,7
2016-11-20,100,35,100,100,11
2016-11-27,81,33,65,84,5
2016-12-04,73,27,60,77,5
2016-12-11,71,25,58,77,3
2016-12-18,60,21,49,66,4
2016-12-25,71,28,65,83,5
2017-01-01,49,16,42,57,5
2017-01-08,50,20,46,55,5
2017-01-15,54,21,50,55,5
2017-01-22,59,24,49,56,6
2017-01-29,58,23,52,57,3
2017-02-05,58,25,47,57,13
2017-02-12,54,22,46,52,5
2017-02-19,63,23,49,54,4
2017-02-26,62,26,54,55,5
2017-03-05,62,24,56,58,9
2017-03-12,64,27,55,61,4
2017-03-19,64,25,51,59,4
2017-03-26,75,26,47,64,6
2017-04-02,76,26,47,68,10
2017-04-09,74,25,54,67,16
2017-04-16,70,24,49,64,25
2017-04-23,79,26,55,67,45
2017-04-30,69,29,51,71,34
2017-05-07,72,29,52,68,20
2017-05-14,72,32,49,65,27
2017-05-21,83,30,53,70,22
2017-05-28,76,29,52,70,23
2017-06-04,69,29,48,62,20
2017-06-11,73,32,49,66,17
2017-06-18,75,32,47,71,18
2017-06-25,76,31,49,67,19
2017-07-02,73,32,53,66,17
2017-07-09,78,33,53,59,30
2017-07-16,59,28,50,57,23
2017-07-23,70,34,52,61,15
2017-07-30,74,33,52,62,24
2017-08-06,68,34,49,61,27
2017-08-13,69,33,54,62,24
2017-08-20,71,38,55,58,18
2017-08-27,65,32,49,56,20
2017-09-03,64,34,52,60,20
2017-09-10,67,31,45,57,16
2017-09-17,66,36,57,57,19
2017-09-24,74,38,51,61,23
2017-10-01,68,38,49,59,15
2017-10-08,64,34,48,54,32
2017-10-15,62,39,56,54,35
2017-10-22,73,53,55,57,33
2017-10-29,69,33,51,66,34
2017-11-05,73,38,49,65,37
2017-11-12,69,39,71,65,34
2017-11-19,92,58,95,89,46
2017-11-26,87,43,65,72,30
2017-12-03,76,39,53,67,28
2017-12-10,66,38,51,63,31
2017-12-17,58,38,45,58,20
2017-12-24,61,41,54,72,29
2017-12-31,46,27,33,51,20
2018-01-07,51,31,38,48,17
2018-01-14,51,35,44,49,30
2018-01-21,54,40,43,46,21
2018-01-28,54,40,41,49,25
2018-02-04,51,40,43,50,23
2018-02-11,50,40,42,44,28
2018-02-18,63,39,44,49,23
2018-02-25,60,42,41,47,30
2018-03-04,52,40,42,48,28
2018-03-11,54,41,40,46,28
2018-03-18,56,46,46,51,32
2018-03-25,59,51,52,51,34
2018-04-01,55,44,43,49,28
2018-04-08,54,43,48,55,31
2018-04-15,61,41,43,58,35
2018-04-22,67,45,42,55,28
2018-04-29,66,51,51,56,41
2018-05-06,68,41,48,54,24
2018-05-13,57,44,40,54,25
2018-05-20,65,51,43,60,36
2018-05-27,66,45,38,55,38
2018-06-03,69,48,49,53,30
2018-06-10,61,46,42,56,33
2018-06-17,62,44,46,54,29
2018-06-24,79,56,58,58,38
2018-07-01,76,54,52,56,35
2018-07-08,70,49,39,57,39
2018-07-15,59,48,45,49,33
2018-07-22,67,48,47,49,42
2018-07-29,65,52,47,53,60
2018-08-05,62,39,36,51,48
2018-08-12,57,45,33,48,48
2018-08-19,54,45,35,52,47
2018-08-26,55,40,36,48,37
2018-09-02,52,36,32,47,30
2018-09-09,51,37,31,45,33
2018-09-16,54,36,31,45,35
2018-09-23,62,44,42,49,33
2018-09-30,66,45,37,52,30
2018-10-07,56,42,35,48,38
2018-10-14,55,45,38,47,42
2018-10-21,57,46,34,51,40
2018-10-28,59,37,34,50,56
2018-11-04,57,41,32,49,57
2018-11-11,57,42,36,51,50
2018-11-18,81,63,51,73,100
2018-11-25,75,49,39,60,56
2018-12-02,71,49,38,57,43
2018-12-09,67,45,33,59,51
2018-12-16,55,42,31,66,39
