Date,Trend,Brand,Total Search Volume,Estimated Weekly Search Volume
29/05/2016,24,Boohoo,15770000,946200
05/06/2016,23,Boohoo,15770000,906775
12/06/2016,22,Boohoo,15770000,867350
19/06/2016,25,Boohoo,15770000,985625
26/06/2016,23,Boohoo,15770000,906775
03/07/2016,23,Boohoo,15770000,906775
10/07/2016,22,Boohoo,15770000,867350
17/07/2016,24,Boohoo,15770000,946200
24/07/2016,23,Boohoo,15770000,906775
31/07/2016,24,Boohoo,15770000,946200
07/08/2016,23,Boohoo,15770000,906775
14/08/2016,20,Boohoo,15770000,788500
21/08/2016,22,Boohoo,15770000,867350
28/08/2016,20,Boohoo,15770000,788500
04/09/2016,22,Boohoo,15770000,867350
11/09/2016,20,Boohoo,15770000,788500
18/09/2016,22,Boohoo,15770000,867350
25/09/2016,25,Boohoo,15770000,985625
02/10/2016,23,Boohoo,15770000,906775
09/10/2016,25,Boohoo,15770000,985625
16/10/2016,23,Boohoo,15770000,906775
23/10/2016,24,Boohoo,15770000,946200
30/10/2016,21,Boohoo,15770000,827925
06/11/2016,24,Boohoo,15770000,946200
13/11/2016,23,Boohoo,15770000,906775
20/11/2016,34,Boohoo,15770000,1340450
27/11/2016,28,Boohoo,15770000,1103900
04/12/2016,25,Boohoo,15770000,985625
11/12/2016,24,Boohoo,15770000,946200
18/12/2016,20,Boohoo,15770000,788500
25/12/2016,24,Boohoo,15770000,946200
01/01/2017,17,Boohoo,15770000,670225
08/01/2017,17,Boohoo,15770000,670225
15/01/2017,18,Boohoo,15770000,709650
22/01/2017,20,Boohoo,15770000,788500
29/01/2017,20,Boohoo,15770000,788500
05/02/2017,20,Boohoo,15770000,788500
12/02/2017,19,Boohoo,15770000,749075
19/02/2017,22,Boohoo,15770000,867350
26/02/2017,21,Boohoo,15770000,827925
05/03/2017,21,Boohoo,15770000,827925
12/03/2017,22,Boohoo,15770000,867350
19/03/2017,22,Boohoo,15770000,867350
26/03/2017,26,Boohoo,15770000,1025050
02/04/2017,26,Boohoo,15770000,1025050
09/04/2017,25,Boohoo,15770000,985625
16/04/2017,24,Boohoo,15770000,946200
23/04/2017,27,Boohoo,15770000,1064475
30/04/2017,24,Boohoo,15770000,946200
07/05/2017,25,Boohoo,15770000,985625
14/05/2017,25,Boohoo,15770000,985625
21/05/2017,28,Boohoo,15770000,1103900
28/05/2017,26,Boohoo,15770000,1025050
04/06/2017,24,Boohoo,15770000,946200
11/06/2017,25,Boohoo,15770000,985625
18/06/2017,26,Boohoo,15770000,1025050
25/06/2017,26,Boohoo,15770000,1025050
02/07/2017,25,Boohoo,15770000,985625
09/07/2017,27,Boohoo,15770000,1064475
16/07/2017,20,Boohoo,15770000,788500
